title	year	party	municipality	district	votes	share
Bratislava - Staré Mesto - SRK - 2010	7	SRK	Bratislava - Staré Mesto	Okres Bratislava I	14	0.05
Bratislava - Staré Mesto - Paliho Kapurková - 2010	7	Paliho Kapurková	Bratislava - Staré Mesto	Okres Bratislava I	118	0.47
Bratislava - Staré Mesto - SaS - 2010	7	SaS	Bratislava - Staré Mesto	Okres Bratislava I	4 159	16.60
Bratislava - Staré Mesto - SDĽ - 2010	7	SDĽ	Bratislava - Staré Mesto	Okres Bratislava I	323	1.28
Bratislava - Staré Mesto - SMK - MKP - 2010	7	SMK - MKP	Bratislava - Staré Mesto	Okres Bratislava I	202	0.80
Bratislava - Staré Mesto - ĽS - HZDS - 2010	7	ĽS - HZDS	Bratislava - Staré Mesto	Okres Bratislava I	631	2.51
Bratislava - Staré Mesto - KSS - 2010	7	KSS	Bratislava - Staré Mesto	Okres Bratislava I	80	0.31
Bratislava - Staré Mesto - SNS - 2010	7	SNS	Bratislava - Staré Mesto	Okres Bratislava I	700	2.79
Bratislava - Staré Mesto - ND - 2010	7	ND	Bratislava - Staré Mesto	Okres Bratislava I	65	0.25
Bratislava - Staré Mesto - ZRS - 2010	7	ZRS	Bratislava - Staré Mesto	Okres Bratislava I	9	0.03
Bratislava - Staré Mesto - KDH - 2010	7	KDH	Bratislava - Staré Mesto	Okres Bratislava I	2 739	10.93
Bratislava - Staré Mesto - ĽSNS - 2010	7	ĽSNS	Bratislava - Staré Mesto	Okres Bratislava I	95	0.37
Bratislava - Staré Mesto - SDKÚ - DS - 2010	7	SDKÚ - DS	Bratislava - Staré Mesto	Okres Bratislava I	8 161	32.58
Bratislava - Staré Mesto - AZEN - 2010	7	AZEN	Bratislava - Staré Mesto	Okres Bratislava I	24	0.09
Bratislava - Staré Mesto - SMER - 2010	7	SMER	Bratislava - Staré Mesto	Okres Bratislava I	4 738	18.91
Bratislava - Staré Mesto - MOST - HÍD - 2010	7	MOST - HÍD	Bratislava - Staré Mesto	Okres Bratislava I	2 772	11.06
Bratislava - Podunajské Biskupice - SRK - 2010	7	SRK	Bratislava - Podunajské Biskupice	Okres Bratislava II	5	0.04
Bratislava - Podunajské Biskupice - Paliho Kapurková - 2010	7	Paliho Kapurková	Bratislava - Podunajské Biskupice	Okres Bratislava II	60	0.56
Bratislava - Podunajské Biskupice - SaS - 2010	7	SaS	Bratislava - Podunajské Biskupice	Okres Bratislava II	1 613	15.16
Bratislava - Podunajské Biskupice - SDĽ - 2010	7	SDĽ	Bratislava - Podunajské Biskupice	Okres Bratislava II	202	1.89
Bratislava - Podunajské Biskupice - SMK - MKP - 2010	7	SMK - MKP	Bratislava - Podunajské Biskupice	Okres Bratislava II	261	2.45
Bratislava - Podunajské Biskupice - ĽS - HZDS - 2010	7	ĽS - HZDS	Bratislava - Podunajské Biskupice	Okres Bratislava II	255	2.39
Bratislava - Podunajské Biskupice - KSS - 2010	7	KSS	Bratislava - Podunajské Biskupice	Okres Bratislava II	49	0.46
Bratislava - Podunajské Biskupice - SNS - 2010	7	SNS	Bratislava - Podunajské Biskupice	Okres Bratislava II	415	3.90
Bratislava - Podunajské Biskupice - ND - 2010	7	ND	Bratislava - Podunajské Biskupice	Okres Bratislava II	20	0.18
Bratislava - Podunajské Biskupice - ZRS - 2010	7	ZRS	Bratislava - Podunajské Biskupice	Okres Bratislava II	4	0.03
Bratislava - Podunajské Biskupice - KDH - 2010	7	KDH	Bratislava - Podunajské Biskupice	Okres Bratislava II	526	4.94
Bratislava - Podunajské Biskupice - ĽSNS - 2010	7	ĽSNS	Bratislava - Podunajské Biskupice	Okres Bratislava II	72	0.67
Bratislava - Podunajské Biskupice - SDKÚ - DS - 2010	7	SDKÚ - DS	Bratislava - Podunajské Biskupice	Okres Bratislava II	2 680	25.19
Bratislava - Podunajské Biskupice - AZEN - 2010	7	AZEN	Bratislava - Podunajské Biskupice	Okres Bratislava II	8	0.07
Bratislava - Podunajské Biskupice - SMER - 2010	7	SMER	Bratislava - Podunajské Biskupice	Okres Bratislava II	2 540	23.87
Bratislava - Podunajské Biskupice - MOST - HÍD - 2010	7	MOST - HÍD	Bratislava - Podunajské Biskupice	Okres Bratislava II	1 784	16.77
Bratislava - Ružinov - SRK - 2010	7	SRK	Bratislava - Ružinov	Okres Bratislava II	9	0.02
Bratislava - Ružinov - Paliho Kapurková - 2010	7	Paliho Kapurková	Bratislava - Ružinov	Okres Bratislava II	253	0.60
Bratislava - Ružinov - SaS - 2010	7	SaS	Bratislava - Ružinov	Okres Bratislava II	7 238	17.35
Bratislava - Ružinov - SDĽ - 2010	7	SDĽ	Bratislava - Ružinov	Okres Bratislava II	672	1.61
Bratislava - Ružinov - SMK - MKP - 2010	7	SMK - MKP	Bratislava - Ružinov	Okres Bratislava II	267	0.64
Bratislava - Ružinov - ĽS - HZDS - 2010	7	ĽS - HZDS	Bratislava - Ružinov	Okres Bratislava II	1 290	3.09
Bratislava - Ružinov - KSS - 2010	7	KSS	Bratislava - Ružinov	Okres Bratislava II	152	0.36
Bratislava - Ružinov - SNS - 2010	7	SNS	Bratislava - Ružinov	Okres Bratislava II	1 420	3.40
Bratislava - Ružinov - ND - 2010	7	ND	Bratislava - Ružinov	Okres Bratislava II	114	0.27
Bratislava - Ružinov - ZRS - 2010	7	ZRS	Bratislava - Ružinov	Okres Bratislava II	14	0.03
Bratislava - Ružinov - KDH - 2010	7	KDH	Bratislava - Ružinov	Okres Bratislava II	3 591	8.61
Bratislava - Ružinov - ĽSNS - 2010	7	ĽSNS	Bratislava - Ružinov	Okres Bratislava II	209	0.50
Bratislava - Ružinov - SDKÚ - DS - 2010	7	SDKÚ - DS	Bratislava - Ružinov	Okres Bratislava II	12 369	29.66
Bratislava - Ružinov - AZEN - 2010	7	AZEN	Bratislava - Ružinov	Okres Bratislava II	42	0.10
Bratislava - Ružinov - SMER - 2010	7	SMER	Bratislava - Ružinov	Okres Bratislava II	10 293	24.68
Bratislava - Ružinov - MOST - HÍD - 2010	7	MOST - HÍD	Bratislava - Ružinov	Okres Bratislava II	3 288	7.88
Bratislava - Vrakuňa - SRK - 2010	7	SRK	Bratislava - Vrakuňa	Okres Bratislava II	4	0.04
Bratislava - Vrakuňa - Paliho Kapurková - 2010	7	Paliho Kapurková	Bratislava - Vrakuňa	Okres Bratislava II	60	0.63
Bratislava - Vrakuňa - SaS - 2010	7	SaS	Bratislava - Vrakuňa	Okres Bratislava II	1 741	18.49
Bratislava - Vrakuňa - SDĽ - 2010	7	SDĽ	Bratislava - Vrakuňa	Okres Bratislava II	203	2.15
Bratislava - Vrakuňa - SMK - MKP - 2010	7	SMK - MKP	Bratislava - Vrakuňa	Okres Bratislava II	94	0.99
Bratislava - Vrakuňa - ĽS - HZDS - 2010	7	ĽS - HZDS	Bratislava - Vrakuňa	Okres Bratislava II	208	2.21
Bratislava - Vrakuňa - KSS - 2010	7	KSS	Bratislava - Vrakuňa	Okres Bratislava II	36	0.38
Bratislava - Vrakuňa - SNS - 2010	7	SNS	Bratislava - Vrakuňa	Okres Bratislava II	373	3.96
Bratislava - Vrakuňa - ND - 2010	7	ND	Bratislava - Vrakuňa	Okres Bratislava II	29	0.30
Bratislava - Vrakuňa - ZRS - 2010	7	ZRS	Bratislava - Vrakuňa	Okres Bratislava II	6	0.06
Bratislava - Vrakuňa - KDH - 2010	7	KDH	Bratislava - Vrakuňa	Okres Bratislava II	549	5.83
Bratislava - Vrakuňa - ĽSNS - 2010	7	ĽSNS	Bratislava - Vrakuňa	Okres Bratislava II	64	0.68
Bratislava - Vrakuňa - SDKÚ - DS - 2010	7	SDKÚ - DS	Bratislava - Vrakuňa	Okres Bratislava II	2 693	28.61
Bratislava - Vrakuňa - AZEN - 2010	7	AZEN	Bratislava - Vrakuňa	Okres Bratislava II	4	0.04
Bratislava - Vrakuňa - SMER - 2010	7	SMER	Bratislava - Vrakuňa	Okres Bratislava II	2 303	24.47
Bratislava - Vrakuňa - MOST - HÍD - 2010	7	MOST - HÍD	Bratislava - Vrakuňa	Okres Bratislava II	882	9.37
Bratislava - Nové Mesto - SRK - 2010	7	SRK	Bratislava - Nové Mesto	Okres Bratislava III	5	0.02
Bratislava - Nové Mesto - Paliho Kapurková - 2010	7	Paliho Kapurková	Bratislava - Nové Mesto	Okres Bratislava III	171	0.76
