"település neve",,"lakosok száma",,"magyarok száma",,"magyarok aránya",,"szlovákok száma",,"szlovákok aránya",
"magyar","szlovák",2011,2001,2011,2001,2011,2001,2011,2001,2011,2001
,,,,,,,,,,,
"Pozsony","Bratislava",411228,428672,14119,16451,"3,4","3,8",373571,391761,"90,8","91,4"
,,,,,,,,,,,
"Szenci járás",,66265,51825,9134,10553,"13,8","20,4",51299,39797,"77,4","76,8"
,,,,,,,,,,,
"Boldogfa","Boldog",428,404,247,284,"57,7","70,3",164,99,"38,3","24,5"
"Dénesd+Misérd+Torcs","Dunajská Lužná",4482,2932,214,196,"4,8","6,7",4023,2640,"89,8","90,0"
"Dunasápújfalu","Nová Dedinka",2002,1626,408,467,"20,4","28,7",1524,1128,"76,1","69,4"
"Éberhárd","Malinovo",1861,1349,625,682,"33,6","50,6",1158,639,"62,2","47,4"
"Egyházfa","Kostolná pri Dunaji",508,458,265,315,"52,2","68,8",235,137,"46,3","29,9"
"Fél","Tomášov",2329,2052,1049,1137,"45,0","55,4",1206,849,"51,8","41,4"
"Gútor","Hamuliakovo",1438,945,504,525,"35,0","55,6",894,401,"62,2","42,4"
"Hegysúr","Hrubý Šúr",756,634,457,471,"60,4","74,3",270,154,"35,7","24,3"
"Hurbanfalva","Hurbanova Ves",288,228,32,35,"11,1","15,4",237,179,"82,3","78,5"
"Magyarbél","Veľký Biel",2304,2163,702,895,"30,5","41,4",1515,1200,"65,8","55,5"
"Nagyborsa","Hrubá Borša",445,360,91,114,"20,4","31,7",346,239,"77,8","66,4"
"Réte","Reca",1378,1239,517,546,"37,5","44,1",819,685,"59,4","55,3"
"Szemet","Kalinkovo",1170,890,296,330,"25,3","37,1",849,556,"72,6","62,5"
"Szenc ","Senec",17050,14673,2467,3246,"14,5","22,1",11605,10970,"68,1","74,8"
"Vők","Vlky",426,399,295,309,"69,2","77,4",125,84,"29,3","21,1"
"Zonctorony","Tureň",983,842,575,648,"58,5","77,0",361,189,"36,7","22,4"
,,,,,,,,,,,
"Dunaszerdahelyi járás",,116492,112384,87349,93660,"75,0","83,3",22768,15741,"19,5","14,0"
,,,,,,,,,,,
"Albár","Dolný Bar",597,518,468,428,"78,4","82,6",119,75,"19,9","14,5"
"Alistál","Dolný Štál",1894,1962,1742,1848,"92,0","94,2",134,106,"7,1","5,4"
"Bacsfa","Báč",553,566,394,355,"71,2","62,7",149,205,"26,9","36,2"
"Baka","Baka",1114,1093,950,1011,"85,3","92,5",148,76,"13,3","7,0"
"Balony","Baloň",756,735,690,691,"91,3","94,0",44,39,"5,8","5,3"
"Béke","Mierovo",445,419,331,345,"74,4","82,3",100,64,"22,5","15,3"
"Bögellő","Boheľov",351,359,333,351,"94,9","97,8",14,3,"4,0","0,8"
"Bős","Gabčíkovo",5361,5084,4711,4598,"87,9","90,4",580,417,"10,8","8,2"
"Csallóközcsütörtök","Štvrtok na Ostrove",1770,1679,1271,1391,"71,8","82,8",426,207,"24,1","12,3"
"Csallóközkürt","Ohrady",1168,1141,1092,1087,"93,5","95,3",70,50,"6,0","4,4"
